UNITID,OM1TOTLAWDP4,OM1TOTLAWDP6,OM1TOTLAWDP8,OM1TOTLENYP8,OM1TOTLENAP8,OM1TOTLENUP8,OM1TOTLCRTP8,OM1TOTLASCP8,OM1TOTLBACP8,OM1PELLAWDP4,OM1PELLAWDP6,OM1PELLAWDP8,OM1PELLENYP8,OM1PELLENAP8,OM1PELLENUP8,OM1PELLCRTP8,OM1PELLASCP8,OM1PELLBACP8,OM1NPELAWDP4,OM1NPELAWDP6,OM1NPELAWDP8,OM1NPELENYP8,OM1NPELENAP8,OM1NPELENUP8,OM1NPELCRTP8,OM1NPELASCP8,OM1NPELBACP8,OM2TOTLAWDP4,OM2TOTLAWDP6,OM2TOTLAWDP8,OM2TOTLENYP8,OM2TOTLENAP8,OM2TOTLENUP8,OM2TOTLCRTP8,OM2TOTLASCP8,OM2TOTLBACP8,OM2PELLAWDP4,OM2PELLAWDP6,OM2PELLAWDP8,OM2PELLENYP8,OM2PELLENAP8,OM2PELLENUP8,OM2PELLCRTP8,OM2PELLASCP8,OM2PELLBACP8,OM2NPELAWDP4,OM2NPELAWDP6,OM2NPELAWDP8,OM2NPELENYP8,OM2NPELENAP8,OM2NPELENUP8,OM2NPELCRTP8,OM2NPELASCP8,OM2NPELBACP8,OM3TOTLAWDP4,OM3TOTLAWDP6,OM3TOTLAWDP8,OM3TOTLENYP8,OM3TOTLENAP8,OM3TOTLENUP8,OM3TOTLCRTP8,OM3TOTLASCP8,OM3TOTLBACP8,OM3PELLAWDP4,OM3PELLAWDP6,OM3PELLAWDP8,OM3PELLENYP8,OM3PELLENAP8,OM3PELLENUP8,OM3PELLCRTP8,OM3PELLASCP8,OM3PELLBACP8,OM3NPELAWDP4,OM3NPELAWDP6,OM3NPELAWDP8,OM3NPELENYP8,OM3NPELENAP8,OM3NPELENUP8,OM3NPELCRTP8,OM3NPELASCP8,OM3NPELBACP8,OM4TOTLAWDP4,OM4TOTLAWDP6,OM4TOTLAWDP8,OM4TOTLENYP8,OM4TOTLENAP8,OM4TOTLENUP8,OM4TOTLCRTP8,OM4TOTLASCP8,OM4TOTLBACP8,OM4PELLAWDP4,OM4PELLAWDP6,OM4PELLAWDP8,OM4PELLENYP8,OM4PELLENAP8,OM4PELLENUP8,OM4PELLCRTP8,OM4PELLASCP8,OM4PELLBACP8,OM4NPELAWDP4,OM4NPELAWDP6,OM4NPELAWDP8,OM4NPELENYP8,OM4NPELENAP8,OM4NPELENUP8,OM4NPELCRTP8,OM4NPELASCP8,OM4NPELBACP8
100654,10,27,29,1,36,34,0,,29,9,27,29,1,34,36,0,,29,15,27,29,0,42,28,0,,29,1,5,6,1,37,56,0,,6,0,6,7,1,40,52,0,,7,2,3,5,2,29,64,0,,5,44,51,53,0,25,22,0,,53,37,45,48,0,26,27,0,,48,53,58,59,0,25,16,0,,59,14,25,27,2,44,27,0,,27,20,34,34,0,46,20,0,,34,4,13,17,4,42,38,0,,17
100663,41,62,64,1,20,14,0,,64,28,50,53,1,25,21,0,,53,48,68,70,1,18,11,0,,70,6,19,22,3,36,39,0,,22,11,44,44,0,22,33,0,,44,4,11,15,4,41,41,0,,15,54,61,62,1,18,19,0,,62,51,58,60,1,17,22,0,,60,56,63,64,1,18,16,0,,64,27,35,37,2,29,33,1,,36,30,38,40,2,30,29,0,,40,26,34,36,2,28,34,1,,35
100690,44,50,50,0,31,19,,13,38,36,43,43,0,36,21,,14,29,100,100,100,0,0,0,,0,100,58,63,63,0,11,26,,11,53,53,60,60,0,13,27,,13,47,75,75,75,0,0,25,,0,75,59,62,62,0,5,33,,12,50,52,52,52,0,7,41,,9,43,79,93,93,0,0,7,,21,71,47,47,47,0,11,42,,11,37,43,43,43,0,7,50,,14,29,60,60,60,0,20,20,,0,60
100706,35,60,62,2,25,11,0,,62,21,46,49,1,33,16,0,,49,39,65,67,2,22,9,0,,67,9,18,23,0,41,36,0,,23,0,0,0,0,50,50,0,,0,11,22,28,0,39,33,0,,28,54,61,62,1,21,16,0,,62,51,56,58,2,23,17,0,,58,56,64,65,1,19,15,0,,65,25,33,34,1,38,27,0,,34,28,36,40,2,38,20,0,,40,24,32,32,1,38,30,0,,32
100724,10,29,30,0,39,30,,,30,8,27,28,0,37,34,,,28,17,35,37,0,44,19,,,37,0,7,13,33,47,7,,,13,0,10,20,30,50,0,,,20,0,0,0,40,40,20,,,0,41,51,52,0,35,13,,,52,37,46,47,0,42,11,,,47,51,65,65,0,18,18,,,65,15,15,15,0,38,46,,,15,29,29,29,0,29,43,,,29,0,0,0,0,50,50,,,0
100751,52,72,73,0,21,6,0,,73,34,54,55,1,32,11,0,,55,56,76,77,0,19,4,0,,77,11,20,20,7,54,20,0,,20,7,13,13,13,67,7,0,,13,13,23,23,3,48,26,0,,23,62,69,70,0,20,10,0,,70,54,61,63,0,24,13,0,,63,68,73,74,0,18,8,0,,74,46,52,55,1,25,19,0,,55,48,55,56,1,29,14,0,,56,45,52,54,2,23,21,0,,54
100760,29,31,31,0,22,47,2,29,,22,24,24,0,20,56,1,22,,40,42,43,0,25,32,4,39,,9,12,12,0,29,59,1,11,,6,9,9,0,23,68,0,9,,12,15,15,0,37,48,2,13,,27,29,29,0,24,47,4,24,,26,29,29,0,29,42,5,24,,28,28,28,0,19,53,3,25,,13,16,18,0,52,30,5,13,,21,26,26,0,42,32,11,16,,8,11,14,0,57,30,3,11,
100812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,70,71,1,11,16,0,,71,60,65,66,1,12,21,0,,66,73,77,78,1,11,10,0,,78,34,43,45,3,15,37,2,,44,31,42,44,3,13,39,0,,44,36,44,46,2,16,35,2,,44
100830,12,35,39,1,37,22,0,,39,8,30,35,1,41,22,0,,35,17,40,43,1,33,22,0,,43,0,12,18,1,41,39,0,,18,0,13,18,3,45,35,0,,18,0,11,19,0,39,43,0,,19,43,51,52,1,36,11,0,,52,34,43,43,0,46,11,0,,43,53,60,61,1,26,12,0,,61,35,40,43,2,39,16,0,,43,16,23,27,4,54,16,0,,27,46,50,51,1,31,16,0,,51
100858,55,81,82,0,13,4,0,,82,42,66,68,1,21,10,0,,68,57,83,84,0,12,4,0,,84,26,53,62,0,28,11,0,,62,20,40,40,0,40,20,0,,40,26,55,64,0,26,10,0,,64,69,76,77,0,15,8,0,,77,63,71,72,0,19,9,0,,72,72,78,79,0,14,7,0,,79,45,59,61,0,20,18,0,,61,48,59,61,0,25,14,0,,61,45,58,62,0,18,20,0,,62
100937,64,70,70,0,25,4,,,70,54,57,58,1,33,9,,,58,66,73,74,0,23,3,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,78,78,0,22,0,,,78,67,67,67,0,33,0,,,67,82,82,82,0,18,0,,,82,33,67,67,0,0,33,,,67,,,,,,,,,,33,67,67,0,0,33,,,67
101028,20,22,29,1,35,35,8,21,,15,18,23,1,35,41,8,15,,32,33,42,0,36,22,10,33,,11,14,25,0,42,33,11,14,,10,15,25,0,41,34,12,12,,12,13,25,0,43,32,8,17,,22,27,40,1,38,22,17,22,,17,21,33,1,42,25,17,16,,34,39,53,2,29,16,18,35,,16,18,26,0,47,27,10,16,,16,18,25,1,40,34,9,16,,16,18,26,0,54,20,10,16,
101116,4,6,7,4,41,48,,0,7,5,5,8,3,46,44,,0,8,0,7,7,7,27,60,,0,7,5,5,5,0,19,76,,5,0,7,7,7,0,27,67,,7,0,0,0,0,0,0,100,,0,0,35,38,42,2,15,40,,16,26,30,34,41,3,18,37,,17,24,44,44,44,0,9,47,,13,31,26,27,27,2,25,46,,18,10,21,22,22,1,32,45,,14,8,37,37,37,2,15,46,,24,12
101143,23,23,24,1,55,21,4,20,,17,18,18,1,48,32,3,15,,33,33,34,0,66,0,7,28,,7,7,9,1,35,55,1,8,,5,6,7,1,19,73,2,5,,9,9,11,1,51,36,0,11,,27,28,28,0,62,10,6,22,,30,31,33,0,54,13,8,25,,22,22,22,0,73,4,3,19,,15,15,16,1,48,35,7,10,,20,20,21,2,35,42,9,12,,10,10,11,0,60,29,4,7,
101161,22,24,25,1,16,58,6,19,,17,19,20,1,18,61,3,17,,27,30,30,0,15,55,9,22,,11,16,17,1,21,60,6,11,,14,19,20,2,19,60,8,11,,10,14,16,1,23,60,4,11,,24,27,28,1,17,54,3,25,,23,25,27,1,19,53,4,23,,25,29,30,1,14,55,2,28,,17,22,24,2,19,55,2,22,,17,20,24,2,20,54,4,19,,17,23,25,1,18,56,1,24,
101189,31,42,43,1,35,22,,1,42,32,40,42,1,32,25,,1,41,28,45,45,0,39,16,,2,43,46,54,57,0,17,26,,0,57,51,61,65,0,12,24,,0,65,33,38,38,0,29,33,,0,38,38,40,41,1,27,31,,2,39,32,35,36,1,30,33,,3,34,53,54,54,1,21,24,,0,54,24,27,27,1,30,42,,1,27,20,24,24,0,34,42,,1,23,34,36,36,2,21,40,,0,36
101240,27,30,32,1,13,54,9,23,,21,24,26,1,11,62,5,20,,40,42,43,1,18,38,17,27,,14,19,22,2,8,68,5,17,,12,16,19,2,7,72,6,13,,16,22,25,2,9,64,4,21,,31,33,33,0,16,50,10,24,,27,28,29,0,18,53,8,21,,42,44,44,1,10,44,13,32,,23,27,28,1,11,60,7,20,,20,26,28,1,10,61,4,24,,25,27,27,2,12,59,9,18,
101286,32,35,36,1,17,45,14,23,,25,29,31,1,17,51,10,21,,44,47,47,1,18,35,22,25,,18,22,23,3,22,51,11,12,,15,18,21,3,14,62,10,11,,20,25,26,3,28,42,12,14,,32,38,38,1,23,38,16,22,,29,36,37,2,25,36,7,30,,38,40,40,0,20,40,30,10,,32,35,37,2,23,38,9,28,,35,37,39,3,18,40,12,27,,29,34,35,1,27,37,7,29,
101295,44,46,47,1,16,36,17,30,,37,40,40,1,14,44,13,27,,56,57,57,1,19,23,23,35,,18,21,22,1,22,56,6,16,,12,15,16,1,18,65,3,13,,25,27,28,1,25,46,9,19,,53,54,55,0,22,22,10,45,,45,47,47,1,27,25,7,41,,62,63,64,0,17,19,13,50,,42,43,43,1,26,29,4,40,,36,39,39,0,29,32,2,36,,45,46,46,2,24,27,4,42,
101301,35,37,38,1,6,56,19,19,,35,36,37,1,6,56,20,16,,39,42,44,0,5,51,8,36,,8,9,9,0,13,78,2,7,,13,15,15,0,16,70,4,11,,3,4,4,0,10,86,1,3,,24,29,29,1,6,64,10,19,,25,30,30,1,8,61,11,19,,19,25,25,0,0,75,6,19,,21,23,24,0,10,66,5,19,,24,26,28,0,13,59,9,19,,19,20,20,0,7,72,0,20,
101365,55,64,66,0,17,17,49,12,6,40,47,49,0,26,26,21,21,6,69,80,81,0,9,9,72,4,6,41,41,41,0,26,34,34,6,1,20,20,20,0,34,46,8,10,2,65,65,65,0,15,19,63,2,0,66,66,66,0,15,20,12,45,8,64,64,64,0,16,20,10,46,8,69,69,69,0,11,19,19,42,8,22,24,24,0,35,42,2,18,3,23,23,23,0,31,45,2,19,3,20,24,24,0,44,32,4,16,4
101435,35,44,44,0,41,15,,,44,36,44,45,0,39,17,,,45,34,44,44,0,42,14,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,63,63,0,27,11,,,63,33,43,43,0,37,20,,,43,73,85,85,0,15,0,,,85,68,71,71,0,14,15,,,71,71,75,75,0,13,12,,,75,66,68,68,0,14,19,,,68
101453,25,50,50,0,25,25,,25,25,0,100,100,0,0,0,,0,100,33,33,33,0,33,33,,33,0,0,33,33,0,0,67,,0,33,0,33,33,0,0,67,,0,33,,,,,,,,,,33,33,50,0,17,33,,0,50,50,50,50,0,25,25,,0,50,0,0,50,0,0,50,,0,50,33,42,42,8,0,50,,0,42,38,50,50,13,0,38,,0,50,25,25,25,0,0,75,,0,25
101462,16,17,17,1,11,71,6,11,,13,13,14,2,11,73,4,10,,39,39,39,0,6,55,16,23,,10,12,12,2,17,68,3,9,,7,8,8,2,17,74,2,6,,16,21,23,2,19,56,7,16,,28,31,31,1,20,48,7,23,,21,25,25,2,18,56,7,18,,50,50,50,0,25,25,10,40,,23,23,25,0,17,58,17,8,,24,24,27,0,12,61,17,10,,21,21,23,0,21,56,17,6,
101480,25,49,51,1,27,21,0,,51,16,41,43,1,31,25,0,,43,31,55,57,1,25,18,0,,57,0,19,24,2,38,36,0,,24,0,15,18,3,42,36,0,,18,0,22,27,2,35,36,0,,27,55,61,63,1,23,14,0,,63,54,61,63,1,23,13,0,,63,56,62,62,0,23,15,0,,62,53,61,62,0,17,21,0,,62,53,62,62,0,21,17,0,,62,54,61,62,0,15,23,0,,62
101505,17,21,22,2,42,34,0,22,,14,17,19,2,46,32,0,19,,21,25,26,1,38,36,0,25,,7,12,14,2,28,56,1,13,,7,12,15,3,28,53,1,15,,7,12,14,2,27,58,1,13,,24,27,28,1,31,40,1,27,,20,24,24,1,27,47,2,23,,27,29,31,1,35,34,1,30,,17,20,22,1,41,35,2,21,,17,20,21,2,17,60,0,21,,17,20,23,1,49,27,2,20,
101514,29,34,37,1,23,38,6,31,,22,27,29,1,22,48,3,26,,37,42,46,2,25,28,10,36,,14,18,21,1,22,56,4,17,,11,15,19,2,19,60,2,16,,16,20,23,1,24,53,6,17,,29,34,35,1,38,26,4,31,,25,30,33,1,38,28,3,31,,32,37,37,1,37,25,6,32,,20,25,26,1,36,36,3,23,,17,22,23,1,34,43,2,22,,21,27,28,1,37,34,3,24,
101569,23,25,25,1,25,48,7,18,,20,22,22,1,26,50,6,16,,39,41,41,2,22,36,14,27,,12,13,14,3,20,64,5,9,,11,13,13,3,19,64,5,8,,13,14,14,2,22,62,4,10,,25,30,31,1,35,34,13,18,,22,26,27,2,34,38,7,20,,33,39,39,0,37,24,25,14,,15,19,20,1,36,43,8,12,,13,15,17,2,33,48,3,13,,18,22,22,1,39,39,12,10,
101587,28,38,39,0,38,23,,6,33,21,33,33,0,39,27,,7,26,36,44,45,1,37,18,,5,40,33,33,33,0,33,33,,0,33,50,50,50,0,50,0,,0,50,0,0,0,0,0,100,,0,0,46,51,51,1,26,22,,4,47,36,42,43,1,32,25,,6,37,57,59,59,1,21,19,,2,57,21,21,21,0,37,42,,0,21,27,27,27,0,55,18,,0,27,13,13,13,0,13,75,,0,13
101602,37,40,41,1,10,48,13,27,,33,35,37,1,9,53,13,23,,48,50,50,0,15,35,13,38,,29,36,37,1,13,50,12,25,,30,36,36,2,8,55,13,23,,27,36,37,0,17,46,10,27,,46,48,50,1,6,43,24,26,,48,51,53,1,6,40,25,28,,43,43,43,0,8,50,20,23,,38,38,39,3,20,39,12,27,,30,30,32,2,17,49,13,19,,44,44,44,4,22,30,11,33,
101648,33,33,33,0,60,6,,33,,37,37,37,0,51,12,,37,,32,32,32,0,65,4,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,24,0,33,43,,24,,33,33,33,0,50,17,,33,,20,20,20,0,27,53,,20,,100,100,100,0,0,0,,100,,,,,,,,,,,100,100,100,0,0,0,,100,
101675,14,27,29,1,34,35,,,29,16,27,27,2,33,38,,,27,0,30,47,0,43,11,,,47,0,0,0,0,0,100,,,0,,,,,,,,,,0,0,0,0,0,100,,,0,15,35,37,2,20,41,,,37,15,35,37,2,20,41,,,37,,,,,,,,,,0,20,20,0,0,80,,,20,0,20,20,0,0,80,,,20,,,,,,,,,
101693,35,51,51,0,49,0,0,1,51,28,43,44,0,56,0,0,0,44,40,57,57,0,43,0,0,1,55,0,50,50,0,0,50,0,0,50,,,,,,,,,,0,50,50,0,0,50,0,0,50,13,56,56,0,44,0,0,0,56,15,53,53,0,47,0,0,0,53,12,59,59,0,41,0,0,0,59,0,6,6,0,67,28,0,0,6,0,0,0,0,0,100,0,0,0,0,8,8,0,92,0,0,0,8
101709,33,51,52,0,28,20,,,52,31,51,54,0,24,23,,,54,35,50,50,0,32,17,,,50,0,17,25,4,25,46,,,25,0,0,10,10,10,70,,,10,0,29,36,0,36,29,,,36,59,65,65,0,18,16,,,65,52,58,58,0,21,21,,,58,67,72,72,0,16,12,,,72,38,42,42,0,38,19,,,42,42,50,50,0,25,25,,,50,36,36,36,0,50,14,,,36
101736,30,40,41,1,16,41,13,29,,24,34,35,1,15,49,11,24,,41,52,53,2,17,28,15,38,,18,30,32,3,20,46,12,20,,15,24,27,4,15,54,10,17,,21,35,36,1,24,39,13,23,,30,31,31,3,26,39,11,21,,30,31,31,5,20,44,9,23,,29,32,32,0,39,29,15,17,,30,33,35,1,32,32,8,27,,35,39,40,1,30,30,8,32,,26,30,32,1,33,34,8,24,
101879,27,50,52,1,29,18,0,0,52,18,41,43,1,32,24,0,0,43,34,57,58,1,27,14,0,0,58,5,11,21,0,37,42,0,0,21,13,25,25,0,25,50,0,0,25,0,0,18,0,45,36,0,0,18,50,58,58,1,25,16,0,0,58,41,50,51,1,28,20,0,0,51,57,65,65,0,22,12,0,0,65,34,43,45,0,29,26,0,0,45,32,36,38,0,40,21,0,0,38,35,46,47,0,25,28,0,0,47
101897,44,46,48,1,7,44,7,40,,40,42,44,1,7,49,7,36,,53,55,56,2,7,35,7,49,,29,33,34,2,8,56,8,26,,26,29,31,4,7,59,8,23,,34,38,40,0,9,52,10,30,,41,43,43,0,10,47,16,27,,40,42,42,0,8,51,17,25,,47,47,47,0,18,35,12,35,,32,34,34,3,12,51,6,28,,40,40,40,0,11,49,9,31,,23,27,27,7,13,53,3,23,
101912,26,48,50,1,30,19,,0,50,19,39,41,1,34,24,,1,40,35,59,62,0,25,13,,0,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,49,52,0,7,42,,0,52,31,43,44,0,11,44,,0,44,31,60,63,0,0,37,,0,63,33,33,33,0,0,67,,0,33,0,0,0,0,0,100,,0,0,100,100,100,0,0,0,,0,100
101994,45,47,47,2,9,41,33,14,,31,34,34,3,11,52,19,15,,71,71,71,0,6,23,57,14,,55,55,55,0,18,27,55,0,,63,63,63,0,25,13,63,0,,33,33,33,0,0,67,33,0,,47,48,49,3,11,37,44,5,,43,45,46,2,12,40,43,3,,64,64,64,7,7,21,50,14,,59,61,61,2,10,27,59,2,,65,65,65,3,11,22,65,0,,50,55,55,0,9,36,50,5,
102030,29,30,31,1,10,58,20,11,,19,20,21,1,10,67,10,12,,56,57,57,1,9,33,46,11,,10,11,11,1,8,80,3,8,,9,10,10,1,10,79,3,7,,11,13,13,1,5,82,4,9,,24,27,27,0,11,62,10,17,,17,20,21,0,12,67,6,15,,45,45,45,0,7,48,23,23,,17,20,21,0,14,65,4,17,,12,15,17,0,18,66,5,12,,22,24,25,0,10,65,3,22,
102049,68,79,79,0,18,3,0,0,79,59,70,70,0,23,7,0,0,70,69,80,80,0,18,2,0,0,80,25,25,25,0,75,0,0,0,25,0,0,0,0,100,0,0,0,0,33,33,33,0,67,0,0,0,33,71,74,74,0,18,8,0,0,74,41,45,45,0,50,5,0,0,45,78,81,81,0,11,8,0,0,81,46,54,54,0,22,24,0,3,51,60,80,80,0,0,20,0,0,80,44,50,50,0,25,25,0,3,47
102058,4,12,15,0,39,46,,11,4,4,12,14,0,40,47,,11,3,0,0,100,0,0,0,,0,100,3,3,11,0,66,24,,8,3,3,3,11,0,66,24,,8,3,,,,,,,,,,7,7,21,0,63,16,,3,17,7,7,21,0,63,16,,3,17,,,,,,,,,,0,2,10,0,67,23,,2,8,0,2,10,0,67,23,,2,8,,,,,,,,,
102067,27,28,29,1,12,58,4,25,,21,23,24,1,10,65,3,21,,33,34,35,1,15,49,5,30,,13,16,17,2,12,70,3,14,,9,11,13,2,9,77,3,10,,16,21,21,1,15,62,3,18,,21,22,24,0,16,61,4,19,,23,23,26,0,14,60,7,19,,19,21,22,0,17,61,2,20,,16,18,19,0,25,56,2,17,,20,21,23,1,19,57,4,20,,14,16,16,0,27,56,1,16,
102076,34,36,37,1,14,48,1,36,,29,30,32,1,14,53,1,31,,45,47,47,0,15,38,1,46,,22,25,27,0,16,57,4,24,,14,18,19,0,18,63,3,17,,29,31,35,0,14,51,5,30,,34,38,38,0,16,46,0,38,,31,36,36,0,20,44,0,36,,40,44,44,0,4,52,0,44,,18,21,22,1,28,48,2,20,,20,21,21,3,26,49,0,21,,17,20,23,0,30,48,4,19,
102094,25,43,46,1,35,19,1,,45,21,41,45,1,32,22,1,,44,28,44,46,0,37,17,0,,46,0,6,8,1,62,29,0,,8,0,17,33,0,25,42,0,,33,0,5,6,1,65,28,0,,6,51,59,60,0,25,15,1,,59,43,53,54,0,28,18,0,,54,57,63,64,1,23,12,1,,63,39,44,46,0,31,22,1,,45,35,41,42,0,35,23,2,,41,41,46,47,1,30,22,1,,47
102234,48,56,57,0,36,7,0,,57,32,44,46,0,42,12,0,,46,56,62,62,0,33,5,0,,62,0,67,67,0,33,0,0,,67,,,,,,,,,,0,67,67,0,33,0,0,,67,28,32,32,0,45,23,0,,32,18,21,21,0,50,29,0,,21,40,44,44,0,40,16,0,,44,7,7,7,0,40,53,0,,7,50,50,50,0,50,0,0,,50,0,0,0,0,38,62,0,,0
102270,7,15,17,0,16,67,,,17,6,15,16,1,18,66,,,16,10,20,20,0,7,73,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,18,18,0,30,52,,,18,8,18,18,0,21,62,,,18,18,18,18,0,64,18,,,18,13,13,13,0,13,75,,,13,0,0,0,0,0,100,,,0,25,25,25,0,25,50,,,25
102298,21,30,31,11,47,11,,0,31,27,38,40,14,46,0,,0,40,0,0,0,0,49,51,,0,0,3,13,20,20,0,60,,0,20,3,13,20,20,0,60,,0,20,,,,,,,,,,5,10,14,0,74,12,,0,14,5,10,14,0,74,12,,0,14,,,,,,,,,,0,0,0,0,97,3,,0,0,0,0,0,0,97,3,,0,0,,,,,,,,,
102313,41,42,42,0,16,42,21,20,,30,31,31,1,17,51,10,21,,61,61,61,0,14,25,42,19,,18,22,22,3,22,52,9,13,,12,17,17,2,24,57,4,13,,26,30,30,5,20,45,16,14,,58,61,61,0,22,16,34,27,,52,52,52,0,30,18,21,30,,62,67,67,0,18,16,41,25,,34,37,37,0,35,28,10,26,,38,40,40,0,44,17,10,29,,33,35,35,0,32,33,10,25,
102368,28,49,51,1,24,24,0,2,49,18,41,43,0,30,27,0,3,40,34,55,56,1,21,22,0,1,55,8,15,17,1,18,64,0,5,12,8,16,18,1,19,62,0,6,12,7,14,16,1,17,66,0,4,12,52,59,61,1,15,24,0,2,58,46,54,55,1,17,27,0,3,53,58,64,67,1,13,19,0,2,65,24,33,35,2,21,41,0,3,32,24,32,35,2,26,37,0,3,32,25,33,35,2,17,45,0,3,32
102377,66,97,98,0,0,2,,,98,67,100,100,0,0,0,,,100,56,74,85,0,3,12,,,85,58,80,82,2,11,5,,,82,75,75,80,0,5,15,,,80,49,83,83,3,14,0,,,83,33,43,73,0,7,20,,,73,34,34,78,0,7,15,,,78,32,63,63,0,5,32,,,63,39,44,72,0,0,28,,,72,25,25,50,0,0,50,,,50,50,60,90,0,0,10,,,90
102395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,30,0,0,70,0,,30,0,0,33,0,0,67,0,,33,0,0,25,0,0,75,0,,25,0,11,13,0,0,87,0,,13,0,11,11,0,0,89,0,,11,0,11,14,0,0,86,0,,14
102429,27,29,30,1,22,47,12,18,,21,22,23,1,21,54,10,14,,43,46,46,0,24,30,18,28,,31,34,36,2,25,38,25,10,,11,15,16,2,27,55,5,11,,44,46,48,2,23,27,38,10,,23,25,28,1,32,39,12,16,,18,20,23,1,33,43,7,16,,37,39,41,0,30,28,24,17,,43,44,46,0,28,26,28,18,,29,31,33,0,31,36,15,18,,51,53,54,1,27,19,36,18,
102553,20,35,38,3,20,39,1,11,26,15,28,31,3,19,47,1,10,20,22,38,41,3,21,36,1,11,29,7,12,16,2,18,63,2,7,7,6,10,15,3,14,69,1,6,7,7,13,17,2,21,60,2,8,7,38,49,51,2,25,22,1,13,37,33,45,47,2,27,24,1,14,32,41,51,53,2,24,21,1,12,39,22,29,31,2,34,33,2,17,12,23,31,32,2,34,32,2,20,10,22,28,31,1,34,34,2,16,12
102580,17,33,33,0,0,67,0,17,17,50,50,50,0,0,50,0,50,0,0,25,25,0,0,75,0,0,25,0,0,0,0,0,100,0,0,0,,,,,,,,,,0,0,0,0,0,100,0,0,0,67,67,67,0,0,33,0,0,67,50,50,50,0,0,50,0,0,50,80,80,80,0,0,20,0,0,80,0,0,0,0,0,100,0,0,0,,,,,,,,,,0,0,0,0,0,100,0,0,0
102614,29,42,44,1,22,32,6,7,31,20,29,32,1,18,48,7,5,20,32,46,49,1,24,26,6,8,35,14,20,20,2,23,55,7,6,7,10,17,17,1,19,62,7,4,6,15,21,22,3,24,51,7,7,8,40,46,48,1,30,22,7,7,33,35,40,42,0,36,22,6,7,29,44,50,51,2,26,21,7,8,36,20,28,31,2,38,29,5,10,17,23,29,33,1,42,24,1,17,15,19,28,30,2,36,31,6,6,17
102632,25,35,36,3,27,34,4,15,17,16,22,22,2,33,44,2,7,13,30,42,43,3,25,29,5,19,20,11,14,18,0,30,51,8,7,4,10,14,24,0,14,62,5,10,10,11,15,16,0,36,47,9,5,2,55,58,59,2,25,14,18,5,35,41,44,44,3,28,26,10,3,31,63,65,67,1,24,8,23,7,37,26,30,32,2,28,38,11,8,13,22,25,33,3,19,44,0,11,22,27,31,31,2,30,36,14,7,10
102669,15,22,32,0,54,15,0,2,29,5,14,23,0,64,14,0,5,18,26,32,42,0,42,16,0,0,42,0,17,50,0,33,17,0,17,33,0,0,0,0,0,100,0,0,0,0,20,60,0,40,0,0,20,40,57,59,62,3,24,11,0,3,59,75,75,81,6,6,6,0,6,75,43,48,48,0,38,14,0,0,48,20,28,40,8,40,12,0,4,36,17,17,17,0,83,0,0,0,17,21,32,47,11,26,16,0,5,42
102845,49,49,49,0,0,50,48,2,0,50,50,50,1,0,49,48,2,0,47,47,47,0,1,53,46,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,51,51,0,1,48,41,7,2,51,52,52,0,1,47,43,7,2,49,49,49,0,1,50,39,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
103501,73,73,73,0,8,20,67,6,,69,69,69,0,8,23,61,8,,81,81,81,0,6,13,79,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,68,68,0,9,22,49,20,,63,63,63,0,13,24,40,23,,78,78,78,0,3,19,64,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103893,69,70,70,0,2,28,64,6,,70,70,70,0,2,28,65,5,,69,69,69,0,2,29,61,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,69,70,0,5,25,40,30,,69,69,69,0,4,27,42,27,,71,71,72,0,8,20,34,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103909,71,71,71,0,1,28,70,1,,69,69,69,0,1,30,69,0,,77,77,77,0,0,23,74,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,75,75,0,0,24,55,20,,72,72,72,0,1,27,57,15,,80,80,80,0,0,20,51,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103927,72,72,72,0,0,28,72,0,,72,72,73,0,0,27,73,0,,69,69,69,0,0,31,69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,70,71,0,1,28,70,1,,73,74,76,0,1,23,74,1,,61,61,61,0,0,39,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103963,66,67,67,0,12,21,67,0,,71,71,71,0,10,19,71,0,,56,57,57,0,16,28,57,0,,100,100,100,0,0,0,100,0,,100,100,100,0,0,0,100,0,,100,100,100,0,0,0,100,0,,49,49,49,0,18,33,49,0,,54,54,54,0,16,30,54,0,,38,38,38,0,22,41,38,0,,64,64,64,0,7,29,64,0,,83,83,83,0,0,17,83,0,,50,50,50,0,13,38,50,0,
