UNITID,OM1TOTLAWDP4,OM1TOTLAWDP6,OM1TOTLAWDP8,OM1TOTLENYP8,OM1TOTLENAP8,OM1TOTLENUP8,OM1TOTLCRTP8,OM1TOTLASCP8,OM1TOTLBACP8,OM1PELLAWDP4,OM1PELLAWDP6,OM1PELLAWDP8,OM1PELLENYP8,OM1PELLENAP8,OM1PELLENUP8,OM1PELLCRTP8,OM1PELLASCP8,OM1PELLBACP8,OM1NPELAWDP4,OM1NPELAWDP6,OM1NPELAWDP8,OM1NPELENYP8,OM1NPELENAP8,OM1NPELENUP8,OM1NPELCRTP8,OM1NPELASCP8,OM1NPELBACP8,OM2TOTLAWDP4,OM2TOTLAWDP6,OM2TOTLAWDP8,OM2TOTLENYP8,OM2TOTLENAP8,OM2TOTLENUP8,OM2TOTLCRTP8,OM2TOTLASCP8,OM2TOTLBACP8,OM2PELLAWDP4,OM2PELLAWDP6,OM2PELLAWDP8,OM2PELLENYP8,OM2PELLENAP8,OM2PELLENUP8,OM2PELLCRTP8,OM2PELLASCP8,OM2PELLBACP8,OM2NPELAWDP4,OM2NPELAWDP6,OM2NPELAWDP8,OM2NPELENYP8,OM2NPELENAP8,OM2NPELENUP8,OM2NPELCRTP8,OM2NPELASCP8,OM2NPELBACP8,OM3TOTLAWDP4,OM3TOTLAWDP6,OM3TOTLAWDP8,OM3TOTLENYP8,OM3TOTLENAP8,OM3TOTLENUP8,OM3TOTLCRTP8,OM3TOTLASCP8,OM3TOTLBACP8,OM3PELLAWDP4,OM3PELLAWDP6,OM3PELLAWDP8,OM3PELLENYP8,OM3PELLENAP8,OM3PELLENUP8,OM3PELLCRTP8,OM3PELLASCP8,OM3PELLBACP8,OM3NPELAWDP4,OM3NPELAWDP6,OM3NPELAWDP8,OM3NPELENYP8,OM3NPELENAP8,OM3NPELENUP8,OM3NPELCRTP8,OM3NPELASCP8,OM3NPELBACP8,OM4TOTLAWDP4,OM4TOTLAWDP6,OM4TOTLAWDP8,OM4TOTLENYP8,OM4TOTLENAP8,OM4TOTLENUP8,OM4TOTLCRTP8,OM4TOTLASCP8,OM4TOTLBACP8,OM4PELLAWDP4,OM4PELLAWDP6,OM4PELLAWDP8,OM4PELLENYP8,OM4PELLENAP8,OM4PELLENUP8,OM4PELLCRTP8,OM4PELLASCP8,OM4PELLBACP8,OM4NPELAWDP4,OM4NPELAWDP6,OM4NPELAWDP8,OM4NPELENYP8,OM4NPELENAP8,OM4NPELENUP8,OM4NPELCRTP8,OM4NPELASCP8,OM4NPELBACP8   
100654,7,28,32,2,34,33,0,.,32,7,28,31,3,33,34,0,.,31,11,30,36,0,37,26,0,.,36,0,4,5,2,44,49,0,.,5,0,5,7,3,35,55,0,.,7,0,0,0,0,68,32,0,.,0,50,56,57,1,29,13,0,.,57,46,52,53,1,32,14,0,.,53,58,66,68,0,22,10,0,.,68,13,22,28,2,37,33,0,.,28,19,35,46,0,31,23,0,.,46,7,11,11,4,43,43,0,.,11
100663,40,63,66,1,23,10,0,.,65,29,54,56,2,25,17,0,.,56,45,68,71,1,22,6,0,.,70,2,22,27,2,39,32,0,.,27,0,31,38,0,23,38,0,.,38,4,18,21,4,46,29,0,.,21,53,59,61,1,25,13,0,.,61,47,53,56,2,26,16,0,.,56,58,64,65,1,24,10,0,.,65,30,36,39,1,29,32,0,.,39,35,43,47,1,27,25,0,.,47,28,34,36,1,29,34,0,.,36
100690,33,33,33,0,33,33,.,0,33,33,33,33,0,33,33,.,0,33,.,.,.,.,.,.,.,.,.,0,0,0,0,50,50,.,0,0,0,0,0,0,50,50,.,0,0,0,0,0,0,50,50,.,0,0,19,21,22,0,15,63,.,0,22,15,16,17,0,12,72,.,0,17,42,47,47,0,32,21,.,0,47,13,17,17,0,23,60,.,0,17,12,12,12,0,20,68,.,0,12,20,40,40,0,40,20,.,0,40
100706,26,57,59,1,28,12,0,.,59,15,39,41,1,39,20,0,.,41,30,63,66,1,25,9,0,.,66,17,22,30,4,39,26,0,.,30,0,0,0,0,50,50,0,.,0,21,26,37,5,37,21,0,.,37,52,60,62,1,24,13,0,.,62,47,53,56,1,25,18,0,.,56,56,64,66,1,24,10,0,.,66,28,38,43,1,34,22,0,.,43,25,31,38,0,37,25,0,.,38,29,41,45,1,33,21,0,.,45
100724,16,32,34,1,34,31,.,.,34,12,28,30,1,35,34,.,.,30,25,42,44,0,34,22,.,.,44,0,7,7,0,57,36,.,.,7,0,9,9,0,48,43,.,.,9,0,0,0,0,100,0,.,.,0,35,42,43,0,20,38,.,.,43,33,42,43,0,22,35,.,.,43,39,40,42,0,14,44,.,.,42,12,15,15,3,15,67,.,.,15,15,20,20,5,15,60,.,.,20,8,8,8,0,15,77,.,.,8
100751,50,71,72,0,22,6,.,.,72,33,55,57,1,30,13,.,.,57,53,74,76,0,20,4,.,.,76,6,17,20,3,43,34,.,.,20,0,9,9,0,64,27,.,.,9,8,21,25,4,33,38,.,.,25,60,66,68,0,22,10,.,.,68,51,58,59,0,27,14,.,.,59,65,71,72,1,20,8,.,.,72,36,43,45,2,31,22,.,.,45,34,41,45,2,31,22,.,.,45,37,43,46,2,31,22,.,.,46
100760,27,29,29,1,11,59,3,26,.,23,24,25,0,11,64,3,22,.,37,39,39,1,10,50,4,35,.,13,14,14,0,14,71,5,10,.,9,12,12,0,12,76,2,9,.,19,19,19,0,18,63,9,10,.,28,28,28,0,15,57,3,25,.,20,20,20,0,16,64,0,20,.,44,44,44,0,12,44,8,36,.,20,22,23,0,21,56,9,14,.,23,25,25,0,27,48,11,14,.,17,20,22,0,15,63,7,15,.
100812,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,62,68,68,1,14,17,0,.,68,60,66,67,1,15,17,0,.,67,65,69,70,0,13,16,0,.,70,42,52,55,2,17,26,0,.,55,37,48,51,2,22,26,0,.,51,44,54,57,2,15,26,0,.,57
100830,9,32,35,2,35,28,0,.,35,4,24,27,2,41,30,0,.,27,15,41,45,1,28,26,0,.,45,2,13,16,3,34,47,0,.,16,0,6,8,2,47,43,0,.,8,3,18,21,4,24,51,0,.,21,39,47,49,1,28,22,0,.,49,32,40,43,1,33,24,0,.,43,47,54,55,1,23,21,0,.,55,31,33,35,1,38,27,0,.,35,26,31,32,0,44,24,0,.,32,34,35,37,1,33,29,0,.,37
100858,50,79,80,1,14,5,0,.,80,39,68,70,1,19,10,0,.,70,52,81,82,0,13,4,0,.,82,15,35,41,6,41,12,0,.,41,17,33,33,0,50,17,0,.,33,14,36,43,7,39,11,0,.,43,64,73,74,1,18,7,0,.,74,59,69,70,1,20,9,0,.,70,66,75,76,0,18,6,0,.,76,38,52,54,1,31,14,0,.,54,37,46,46,0,29,26,0,.,46,39,54,56,2,31,11,0,.,56
100937,61,69,70,0,26,4,.,.,70,42,50,51,0,38,11,.,.,51,66,74,74,0,23,3,.,.,74,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,63,71,71,0,20,9,.,.,71,50,50,50,0,33,17,.,.,50,66,76,76,0,17,7,.,.,76,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101028,14,17,18,0,38,44,2,16,.,13,17,18,0,39,43,2,16,.,18,19,19,0,34,47,2,17,.,8,11,12,1,34,53,2,10,.,6,6,6,2,34,58,0,6,.,13,21,23,0,34,43,5,18,.,21,23,23,0,18,59,2,21,.,19,20,20,0,21,59,1,19,.,25,29,29,0,13,58,4,25,.,20,23,23,1,21,55,4,20,.,19,22,22,1,19,58,2,20,.,22,25,25,1,24,50,6,19,.
101116,16,16,16,2,24,58,.,13,4,16,16,16,2,30,52,.,14,2,18,18,18,0,0,82,.,9,9,7,9,9,0,28,63,.,5,4,10,12,12,0,29,60,.,7,5,0,0,0,0,27,73,.,0,0,27,31,32,1,27,40,.,13,19,19,25,25,2,34,39,.,9,16,44,46,46,0,9,44,.,22,24,16,18,19,0,25,56,.,9,10,12,14,15,0,29,56,.,3,13,25,26,26,0,17,57,.,22,5
101143,16,17,17,1,29,53,0,17,.,12,12,12,1,28,59,0,12,.,22,24,25,1,31,44,1,24,.,12,13,14,2,28,56,0,14,.,11,15,17,2,17,64,0,17,.,12,12,12,2,37,49,0,12,.,16,17,18,1,23,58,1,17,.,15,17,18,1,21,60,1,17,.,17,18,18,0,28,54,1,17,.,12,12,12,2,23,63,0,12,.,9,9,10,2,28,60,1,10,.,14,14,14,1,20,65,0,14,.
101161,23,25,26,1,34,39,5,21,.,19,21,22,1,33,44,3,18,.,29,31,33,1,36,31,7,26,.,14,16,17,1,35,47,8,9,.,13,16,17,1,32,50,7,10,.,15,16,17,1,36,45,8,9,.,19,20,20,1,39,39,3,17,.,17,18,19,2,41,38,2,17,.,23,23,24,0,35,40,7,18,.,19,21,22,1,41,36,3,19,.,18,19,20,1,41,38,2,17,.,19,22,23,1,41,35,3,20,.
101189,12,27,29,1,41,29,.,0,28,9,20,22,1,45,32,.,0,21,16,39,40,0,35,25,.,0,40,41,50,50,1,22,27,.,0,50,49,62,62,0,14,25,.,0,62,28,33,33,3,35,30,.,0,33,78,80,80,1,5,14,.,1,79,76,78,78,1,5,16,.,1,78,82,83,84,2,5,10,.,2,82,54,56,58,2,8,32,.,3,55,52,55,56,3,12,29,.,5,52,56,57,60,1,3,37,.,0,60
101240,23,24,25,1,13,60,8,17,.,17,18,19,2,12,67,6,14,.,37,38,39,1,17,43,15,25,.,13,16,16,2,8,74,4,12,.,9,12,13,2,5,80,4,9,.,17,20,21,1,11,67,5,15,.,27,29,30,0,11,58,11,19,.,24,26,28,0,12,61,11,17,.,33,35,37,1,9,53,11,26,.,25,26,26,1,15,57,5,21,.,28,28,29,1,11,59,6,23,.,23,25,25,2,17,56,5,20,.
101286,30,34,35,1,18,46,13,22,.,22,26,28,1,18,53,8,20,.,45,51,51,0,16,33,25,26,.,21,26,27,3,17,53,12,15,.,18,21,22,2,15,61,11,12,.,24,31,32,4,20,44,13,19,.,39,41,42,0,26,32,16,26,.,33,36,37,1,26,37,11,26,.,49,52,53,0,26,21,26,26,.,35,38,39,1,25,35,8,31,.,41,45,47,1,17,36,10,37,.,31,33,33,1,31,34,7,26,.
101295,40,43,44,1,14,41,14,29,.,34,37,38,2,13,48,12,26,.,51,53,54,1,17,27,19,36,.,14,19,22,1,30,46,5,17,.,11,18,21,1,15,63,3,17,.,15,20,22,1,42,35,5,17,.,43,46,46,0,26,28,6,40,.,39,40,40,0,27,33,5,35,.,49,55,56,0,24,21,8,48,.,35,39,40,0,28,32,5,34,.,32,36,36,0,26,38,4,32,.,37,42,42,0,30,28,6,37,.
101301,30,33,34,2,4,61,20,15,.,31,34,36,2,4,59,20,15,.,25,25,26,0,3,71,16,10,.,11,15,16,2,13,69,6,10,.,10,17,17,3,8,71,8,8,.,12,13,15,1,17,67,4,11,.,23,25,26,2,9,63,10,15,.,23,26,27,2,9,63,11,16,.,19,19,19,0,13,69,6,13,.,23,24,24,1,8,67,5,19,.,28,30,30,0,7,63,7,22,.,18,18,18,2,9,72,2,16,.
101365,36,36,36,0,31,33,31,5,0,23,23,23,0,38,38,18,5,0,69,69,69,0,13,19,63,6,0,53,57,57,0,19,25,56,1,0,15,20,20,0,40,40,15,5,0,66,69,69,0,11,20,69,0,0,49,49,49,0,25,26,13,28,8,46,46,46,0,27,27,10,25,10,62,62,62,0,15,23,23,38,0,37,38,38,0,30,33,14,18,6,29,31,31,0,33,36,8,16,6,54,54,54,0,22,24,27,22,5
101435,40,49,49,0,36,16,.,.,49,29,40,40,0,38,23,.,.,40,47,55,55,0,34,11,.,.,55,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,57,57,0,31,13,.,.,57,43,50,50,0,29,21,.,.,50,55,61,61,0,32,7,.,.,61,67,71,71,0,1,28,.,.,71,66,72,72,0,1,27,.,.,72,68,69,69,0,1,29,.,.,69
101453,0,14,14,0,14,71,.,0,14,0,0,0,0,17,83,.,0,0,0,100,100,0,0,0,.,0,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,44,44,0,0,56,.,0,44,33,44,44,0,0,56,.,0,44,.,.,.,.,.,.,.,.,.,18,36,36,0,18,45,.,0,36,17,33,33,0,33,33,.,0,33,20,40,40,0,0,60,.,0,40
101462,15,17,19,2,22,57,5,14,.,13,16,18,2,22,58,5,13,.,26,26,26,0,23,51,5,21,.,9,10,10,1,17,72,6,4,.,6,8,8,0,18,74,6,2,.,15,15,15,2,15,67,6,10,.,30,32,33,1,28,37,12,20,.,25,28,29,2,29,40,8,21,.,45,45,45,0,26,29,26,19,.,28,28,28,2,32,38,18,10,.,25,25,25,1,35,39,17,8,.,33,33,33,3,28,38,20,13,.
101471,63,64,64,0,3,33,64,0,.,.,.,.,.,.,.,.,.,.,63,64,64,0,3,33,64,0,.,62,62,62,0,2,37,62,0,.,.,.,.,.,.,.,.,.,.,62,62,62,0,2,37,62,0,.,100,100,100,0,0,0,100,0,.,.,.,.,.,.,.,.,.,.,100,100,100,0,0,0,100,0,.,50,50,50,0,50,0,50,0,.,.,.,.,.,.,.,.,.,.,50,50,50,0,50,0,50,0,.
101480,20,41,44,3,35,18,.,.,44,12,33,37,3,36,23,.,.,37,26,47,49,3,34,13,.,.,49,10,45,47,4,26,23,.,.,47,8,35,38,5,24,32,.,.,38,12,52,53,3,27,17,.,.,53,49,56,59,3,24,15,.,.,59,43,50,53,2,27,17,.,.,53,57,63,65,4,19,12,.,.,65,53,58,60,3,22,15,.,.,60,39,42,43,5,32,20,.,.,43,60,66,68,2,17,12,.,.,68
101505,16,19,19,3,43,35,0,19,.,14,17,18,2,40,40,0,17,.,18,21,21,3,46,30,0,21,.,5,8,8,2,33,57,1,8,.,5,7,7,1,32,60,1,7,.,4,8,9,2,34,55,1,8,.,26,27,28,1,42,29,2,26,.,22,23,25,1,43,32,3,22,.,29,30,31,2,41,27,1,29,.,18,21,21,2,57,21,1,20,.,19,22,23,2,41,35,1,22,.,18,20,20,2,62,16,1,19,.
101514,23,25,25,2,23,50,5,20,.,17,18,19,2,22,57,2,17,.,30,32,33,1,25,41,9,24,.,13,15,16,2,22,61,4,12,.,8,10,11,2,21,67,2,8,.,17,20,20,2,22,56,6,14,.,26,28,30,0,32,38,3,26,.,26,28,29,0,30,40,2,27,.,27,29,30,0,33,36,4,26,.,18,20,21,2,32,45,2,19,.,18,19,20,2,27,51,1,18,.,18,21,22,2,35,42,3,19,.
101569,17,20,21,3,23,53,8,13,.,15,18,19,3,22,56,7,12,.,30,34,35,3,28,34,14,21,.,13,15,17,0,23,60,9,7,.,11,13,16,0,23,61,7,9,.,17,19,19,0,22,58,16,4,.,23,26,29,2,31,38,12,17,.,19,22,25,3,31,41,10,15,.,37,41,44,0,31,24,20,24,.,16,17,18,1,40,41,6,12,.,10,11,12,0,44,44,4,7,.,21,23,24,2,37,38,8,17,.
101587,21,34,34,0,44,22,.,4,30,15,29,30,0,47,23,.,5,25,32,41,42,1,38,19,.,2,40,11,32,36,0,54,11,.,0,36,22,56,56,0,44,0,.,0,56,5,21,26,0,58,16,.,0,26,36,41,42,1,31,27,.,2,40,27,33,35,1,36,29,.,3,32,49,53,54,1,23,22,.,2,52,19,21,21,0,42,38,.,18,3,30,33,33,0,52,15,.,30,4,13,13,13,0,36,51,.,11,2
101602,33,36,37,0,8,55,12,25,.,29,33,34,0,8,58,14,20,.,48,48,48,0,9,43,8,40,.,31,34,35,0,13,52,16,20,.,26,27,29,0,17,55,14,15,.,38,41,43,0,8,49,18,25,.,37,39,39,0,12,48,17,22,.,34,37,37,0,12,51,17,20,.,53,53,53,0,12,35,18,35,.,43,44,44,1,13,42,17,27,.,37,40,40,3,23,34,23,17,.,47,47,47,0,6,47,12,35,.
101648,32,32,32,0,59,9,.,32,.,36,36,36,0,52,12,.,36,.,29,29,29,0,63,8,.,29,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,45,45,45,0,39,15,.,45,.,50,50,50,0,42,8,.,50,.,43,43,43,0,38,19,.,43,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101675,12,25,27,1,33,39,.,.,27,11,24,26,1,32,41,.,.,26,29,37,37,0,46,17,.,.,37,0,0,0,0,100,0,.,.,0,0,0,0,0,100,0,.,.,0,0,0,0,0,100,0,.,.,0,26,34,35,0,29,36,.,.,35,25,34,34,1,30,35,.,.,34,28,33,36,0,25,39,.,.,36,39,39,44,0,39,17,.,.,44,29,29,36,0,43,21,.,.,36,75,75,75,0,25,0,.,.,75
101693,37,56,56,1,2,41,.,0,56,27,49,49,0,2,48,.,0,49,43,60,60,1,1,38,.,0,60,0,0,0,0,11,89,.,0,0,0,0,0,0,0,100,.,0,0,0,0,0,0,13,88,.,0,0,47,48,49,0,8,43,.,1,48,34,34,37,0,10,54,.,2,34,54,56,56,0,7,38,.,0,56,33,34,35,1,5,59,.,3,31,33,36,36,2,2,60,.,5,31,32,32,34,0,7,59,.,2,32
101709,32,54,55,0,27,17,.,.,55,25,47,48,1,26,24,.,.,48,37,60,60,0,27,12,.,.,60,0,7,7,0,33,60,.,.,7,0,0,0,0,38,63,.,.,0,0,14,14,0,29,57,.,.,14,56,64,64,0,19,18,.,.,64,56,64,64,0,14,21,.,.,64,56,63,63,0,23,14,.,.,63,38,45,45,0,26,28,.,.,45,50,56,56,0,17,28,.,.,56,31,40,40,0,31,29,.,.,40
101736,21,24,26,1,21,53,6,20,.,16,19,21,1,18,60,6,15,.,35,38,41,0,27,32,8,33,.,20,22,25,1,26,48,8,17,.,18,20,23,1,22,54,7,15,.,22,24,27,0,30,42,8,20,.,26,30,31,1,27,41,8,23,.,25,29,31,0,27,41,8,23,.,27,31,31,1,27,40,9,23,.,24,24,25,2,32,41,7,18,.,19,19,19,2,29,50,3,16,.,26,27,28,2,33,37,9,20,.
101879,21,47,51,1,32,16,0,.,51,15,37,40,2,38,20,0,.,40,26,54,58,1,28,13,0,.,58,4,13,17,0,35,48,0,.,17,0,13,13,0,25,63,0,.,13,7,13,20,0,40,40,0,.,20,44,50,52,1,25,22,0,.,52,36,44,46,2,26,27,0,.,46,51,56,58,0,25,17,0,.,58,38,43,45,2,27,27,0,.,45,35,40,42,0,23,35,0,.,42,39,44,46,2,28,24,0,.,46
101897,30,33,36,1,16,47,6,30,.,28,30,32,2,13,53,6,26,.,38,45,49,1,25,25,6,43,.,19,23,25,2,17,57,6,19,.,18,22,23,2,15,61,5,18,.,20,25,29,1,20,49,7,22,.,39,41,41,0,20,39,10,31,.,34,35,35,0,20,45,11,24,.,52,56,56,0,22,22,7,48,.,24,27,27,0,34,39,7,19,.,25,31,31,0,25,44,11,19,.,23,23,23,0,45,32,3,19,.
101912,29,48,52,1,36,11,.,1,51,23,43,46,1,41,12,.,1,45,34,54,58,2,31,10,.,1,57,0,0,0,0,0,100,.,0,0,0,0,0,0,0,100,.,0,0,.,.,.,.,.,.,.,.,.,33,48,56,3,23,17,.,0,56,27,36,49,4,31,16,.,0,49,41,64,67,3,13,18,.,0,67,0,50,50,0,0,50,.,0,50,0,0,0,0,0,100,.,0,0,0,100,100,0,0,0,.,0,100
101994,51,51,51,0,12,37,35,16,.,41,41,41,0,13,47,27,14,.,68,68,68,0,11,21,50,18,.,46,46,46,0,15,38,38,8,.,44,44,44,0,22,33,33,11,.,50,50,50,0,0,50,50,0,.,48,49,49,0,16,35,41,8,.,47,48,48,0,16,35,44,5,.,52,52,52,0,14,33,33,19,.,54,54,54,0,17,28,52,2,.,63,63,63,0,10,27,63,0,.,38,38,38,0,31,31,31,6,.
102030,20,22,22,1,9,67,15,8,.,15,16,17,1,10,71,10,7,.,50,50,51,1,4,45,41,10,.,11,13,14,0,9,77,6,8,.,11,12,13,1,8,79,8,6,.,12,15,16,0,10,74,5,11,.,21,22,23,2,9,66,8,14,.,20,21,22,2,10,66,8,14,.,29,29,29,0,4,67,10,19,.,17,18,19,0,11,69,5,13,.,16,16,17,0,9,75,3,14,.,18,21,21,1,14,64,7,13,.
102049,65,76,77,0,20,4,0,.,77,54,65,65,0,31,4,0,.,65,67,78,78,0,18,3,0,.,78,33,50,50,0,22,28,0,.,50,50,50,50,0,0,50,0,.,50,31,50,50,0,25,25,0,.,50,60,63,64,1,23,13,0,.,64,45,50,55,5,35,5,0,.,55,62,64,65,0,21,14,0,.,65,34,45,45,0,24,31,0,.,45,33,67,67,0,0,33,0,.,67,35,42,42,0,27,31,0,.,42
102058,1,5,6,0,88,7,.,0,6,2,5,6,0,94,0,.,0,6,0,0,0,0,0,100,.,0,0,0,2,2,0,98,0,.,0,2,0,2,2,0,98,0,.,0,2,.,.,.,.,.,.,.,.,.,0,0,0,0,100,0,.,0,0,0,0,0,0,100,0,.,0,0,.,.,.,.,.,.,.,.,.,0,0,0,0,100,0,.,0,0,0,0,0,0,100,0,.,0,0,.,.,.,.,.,.,.,.,.
102067,20,21,21,1,27,50,2,19,.,16,16,17,1,20,62,1,16,.,26,27,27,1,37,34,3,24,.,16,18,18,3,10,69,5,13,.,10,11,11,3,11,75,4,7,.,23,26,26,2,9,62,7,19,.,19,20,20,1,19,60,4,17,.,18,19,19,1,24,56,2,17,.,21,22,22,1,14,63,6,16,.,21,23,23,1,16,60,5,17,.,22,24,24,0,16,60,7,18,.,20,22,22,1,17,60,5,17,.
102076,37,38,39,1,24,37,0,38,.,31,32,34,1,21,45,0,33,.,48,49,49,0,30,21,0,49,.,22,26,26,2,14,58,1,25,.,23,30,30,3,13,55,2,28,.,21,23,23,1,15,61,0,23,.,30,30,30,0,52,17,1,30,.,28,28,28,0,51,21,1,27,.,38,38,38,0,55,8,0,38,.,15,16,16,3,33,48,1,15,.,20,22,22,2,31,45,0,22,.,12,12,12,4,35,50,1,10,.
102094,24,44,48,1,33,18,1,.,47,17,38,42,1,35,22,1,.,41,29,49,52,1,31,16,1,.,52,7,20,29,3,31,37,5,.,24,14,14,23,0,23,55,14,.,9,3,24,32,5,35,27,0,.,32,48,55,56,0,28,16,1,.,55,37,44,46,0,34,20,1,.,45,58,64,65,1,22,12,1,.,64,29,36,37,1,34,28,1,.,37,25,33,34,0,36,30,0,.,34,31,37,39,2,33,27,1,.,38
102234,44,56,58,0,34,9,0,.,58,33,50,52,0,38,10,0,.,52,50,60,60,0,31,8,0,.,60,0,0,0,0,67,33,0,.,0,0,0,0,0,0,100,0,.,0,0,0,0,0,100,0,0,.,0,44,49,51,0,42,7,0,.,51,32,36,36,0,54,11,0,.,36,56,63,67,0,30,4,0,.,67,0,13,25,0,50,25,0,.,25,0,0,0,0,67,33,0,.,0,0,20,40,0,40,20,0,.,40
102270,14,19,30,0,37,33,.,.,30,19,19,33,0,43,24,.,.,33,0,21,21,0,21,59,.,.,21,0,0,0,0,0,100,.,.,0,0,0,0,0,0,100,.,.,0,.,.,.,.,.,.,.,.,.,14,14,14,0,11,75,.,.,14,19,19,19,0,12,70,.,.,19,0,0,0,0,9,91,.,.,0,0,0,0,0,10,90,.,.,0,0,0,0,0,0,100,.,.,0,0,0,0,0,11,89,.,.,0
102298,21,34,35,1,0,64,.,0,35,19,35,35,0,0,65,.,0,35,23,32,34,2,0,63,.,0,34,3,9,9,1,0,90,.,0,9,14,29,29,7,0,64,.,0,29,1,6,6,0,0,94,.,0,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
102313,41,42,42,1,13,43,23,19,.,30,31,31,1,15,52,12,19,.,59,61,61,2,10,28,42,19,.,18,20,20,1,17,63,10,10,.,18,19,19,0,16,66,8,11,.,19,22,22,2,19,57,14,9,.,68,68,69,1,10,20,36,32,.,52,52,54,0,13,33,22,31,.,77,77,77,1,9,14,44,33,.,41,41,41,1,23,35,18,22,.,41,41,41,3,21,35,18,24,.,41,41,41,0,24,35,19,22,.
102368,23,45,47,3,31,20,0,2,45,14,34,37,4,35,25,0,3,34,30,53,54,2,28,15,0,2,53,8,13,16,2,15,67,0,3,13,3,6,9,1,18,72,0,4,5,15,22,25,2,12,61,0,2,23,44,51,52,4,25,19,0,2,50,37,44,45,5,30,20,0,2,43,54,61,61,3,19,17,0,2,60,19,26,29,3,17,52,0,3,26,20,26,28,2,14,56,0,3,25,18,26,29,3,20,48,0,3,26
102377,29,52,55,3,0,43,.,.,55,25,44,46,3,0,51,.,.,46,34,63,67,2,0,31,.,.,67,2,37,39,0,0,61,.,.,39,6,33,33,0,0,67,.,.,33,2,38,41,0,0,59,.,.,41,41,44,44,2,0,54,.,.,44,41,44,44,3,0,53,.,.,44,40,45,45,0,0,55,.,.,45,0,50,50,0,0,50,.,.,50,0,60,60,0,0,40,.,.,60,0,0,0,0,0,100,.,.,0
102395,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,2,0,22,76,.,.,2,0,0,2,0,18,80,.,.,2,4,4,4,0,30,67,.,.,4,3,5,22,1,56,21,.,.,22,0,3,47,0,53,0,.,.,47,4,6,6,2,58,33,.,.,6
102429,26,29,30,2,36,31,6,25,.,22,23,25,2,31,41,5,20,.,37,41,42,2,47,10,7,35,.,21,24,24,2,35,39,11,13,.,10,12,13,1,30,56,3,10,.,30,33,34,2,39,26,18,16,.,24,24,24,3,46,27,4,20,.,23,23,23,3,43,31,3,20,.,28,28,28,2,53,16,7,21,.,31,31,32,1,47,20,17,15,.,21,21,22,4,50,25,8,14,.,38,38,39,0,45,16,24,15,.
102553,16,32,35,3,19,42,1,9,25,12,22,24,2,19,55,1,9,14,18,37,42,4,19,35,1,9,32,7,12,15,2,19,64,1,7,6,5,7,9,1,17,73,0,5,4,8,14,18,3,21,58,2,9,8,41,50,52,1,23,25,1,14,36,38,44,45,0,32,22,0,15,30,43,53,55,1,18,26,2,14,39,23,30,32,3,33,32,2,17,14,19,25,26,4,39,31,1,17,9,24,32,35,3,30,32,3,17,16
102580,50,50,50,0,0,50,13,0,38,50,50,50,0,0,50,25,0,25,50,50,50,0,0,50,0,0,50,0,0,0,0,0,100,0,0,0,.,.,.,.,.,.,.,.,.,0,0,0,0,0,100,0,0,0,75,75,75,0,0,25,50,0,25,100,100,100,0,0,0,100,0,0,67,67,67,0,0,33,33,0,33,33,33,33,0,0,67,0,33,0,0,0,0,0,0,100,0,0,0,50,50,50,0,0,50,0,50,0
102614,25,37,40,3,23,34,6,6,29,17,25,27,2,22,49,7,4,16,29,42,46,3,24,27,5,7,34,11,16,19,3,17,62,7,6,5,6,13,15,3,17,66,4,7,4,13,18,20,3,17,60,9,6,6,38,44,47,1,28,24,7,9,32,38,41,46,1,31,22,5,10,32,38,45,48,1,26,25,8,8,31,18,21,23,1,41,35,5,10,8,19,23,28,1,44,28,3,12,13,18,20,21,1,40,39,6,9,6
102632,22,30,33,1,25,42,8,11,13,14,28,29,0,20,51,4,10,14,27,32,35,2,28,36,10,12,13,11,16,17,3,20,60,7,6,4,12,18,18,6,12,64,9,6,3,10,15,16,1,24,59,6,6,4,44,47,50,1,23,26,15,10,25,31,32,37,3,27,32,3,10,24,52,56,57,0,21,22,22,9,26,32,37,39,2,31,28,7,14,18,20,22,24,2,40,33,7,9,9,37,43,45,2,28,25,7,17,21
